"행정구역별",2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020
"행정구역별",독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구),독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구),독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구),독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구),독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구)
"행정구역별",원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률)
"전국",6.7,0.3 (4.7),1294453,71284 (5.8),19367696,256666 (1.3),7.0,0.3 (4.5),1370962,76509 (5.9),19673875,306179 (1.6),7.2,0.2 (2.9),1444588,73626 (5.4),19979188,305313 (1.6),7.5,0.3 (4.2),1532847,88259 (6.1),20343188,364000 (1.8),7.9,0.4 (5.3),1660711,127864 (8.3),20926710,583522 (2.9)
"서울특별시",5.2,0.3 (6.1),196456,10325 (5.5),3784705,215 (0.0),5.5,0.3 (5.8),209240,12784 (6.5),3813260,28555 (0.8),5.8,0.3 (5.5),220988,11748 (5.6),3839766,26506 (0.7),6.1,0.3 (5.2),238088,17100 (7.7),3896389,56623 (1.5),6.5,0.4 (6.6),259733,21645 (9.1),3982290,85901 (2.2)
"종로구",6.6,0.1 (1.5),3990,8 (0.2),60786,-794 (-1.3),6.8,0.2 (3.0),4252,262 (6.6),62372,1586 (2.6),6.8,0 (0.0),4356,104 (2.4),63773,1401 (2.2),7.2,0.4 (5.9),4542,186 (4.3),62652,-1121 (-1.8),7.7,0.5 (6.9),4897,355 (7.8),63414,762 (1.2)
"중구",7.0,0 (0.0),3606,18 (0.5),51503,298 (0.6),7.2,0.2 (2.9),3759,153 (4.2),52208,705 (1.4),7.4,0.2 (2.8),3935,176 (4.7),53102,894 (1.7),7.7,0.3 (4.1),4219,284 (7.2),54496,1394 (2.6),8.2,0.5 (6.5),4526,307 (7.3),55093,597 (1.1)
"용산구",6.3,0.1 (1.6),5680,85 (1.5),90164,-149 (-0.2),6.4,0.1 (1.6),5816,136 (2.4),91102,938 (1.0),6.5,0.1 (1.6),5973,157 (2.7),92500,1398 (1.5),6.6,0.1 (1.5),6163,190 (3.2),93177,677 (0.7),6.7,0.1 (1.5),6395,232 (3.8),95714,2537 (2.7)
"성동구",5.0,0.1 (2.0),5790,163 (2.9),116401,1682 (1.5),5.1,0.1 (2.0),6126,336 (5.8),120957,4556 (3.9),5.3,0.2 (3.9),6517,391 (6.4),123963,3006 (2.5),5.6,0.3 (5.7),6912,395 (6.1),122770,-1193 (-1.0),6.0,0.4 (7.1),7361,449 (6.5),122186,-584 (-0.5)
"광진구",4.3,0.2 (4.9),6331,318 (5.3),146196,-1522 (-1.0),4.6,0.3 (7.0),6740,409 (6.5),147846,1650 (1.1),4.8,0.2 (4.3),7104,364 (5.4),148735,889 (0.6),5.1,0.3 (6.3),7605,501 (7.1),149905,1170 (0.8),5.4,0.3 (5.9),8200,595 (7.8),152090,2185 (1.5)
