"행정구역별",2020,2020,2020
"행정구역별",독거노인가구비율<br>(A÷B×100) (%),65세이상 1인가구<br>(A) (가구),전체 일반가구<br>(B) (가구)
"전국",7.9,1660711,20926710
"서울특별시",6.5,259733,3982290
"종로구",7.7,4897,63414
"중구",8.2,4526,55093
"용산구",6.7,6395,95714
"성동구",6.0,7361,122186
"광진구",5.4,8200,152090
"동대문구",7.4,11072,150373
"중랑구",8.1,13280,164832
"성북구",6.6,11771,179660
"강북구",9.8,12704,129805
"도봉구",8.4,10706,127362
"노원구",8.8,17738,202695
"은평구",7.4,14020,190631
"서대문구",6.7,8899,133112
"마포구",5.3,8569,160681
"양천구",6.5,10847,166044
"강서구",6.7,16294,244097
"구로구",6.6,10819,164083
"금천구",7.4,7619,103432
"영등포구",6.2,10036,162391
"동작구",5.9,9923,167766
"관악구",5.5,13676,248959
"서초구",4.4,6891,156123
"강남구",4.9,10335,208833
"송파구",4.8,12324,255766
"강동구",6.1,10831,177148
"부산광역시",9.7,135957,1405037
"중구",14.5,2971,20508
"서구",13.4,6353,47261
"동구",14.3,5694,39776
"영도구",14.7,7479,50842
"부산진구",9.5,14945,157105
"동래구",8.8,9283,106013
"남구",8.9,9880,110605
"북구",9.9,11219,113121
"해운대구",9.0,14291,158613
"사하구",9.8,12524,128354
"금정구",9.6,9819,101802
"강서구",5.1,2607,51376
"연제구",9.0,7714,85699
"수영구",9.3,7135,76700
"사상구",9.6,8718,90678
"기장군",8.0,5325,66584
"대구광역시",8.5,83459,985816
"중구",10.0,3467,34805
"동구",10.3,14661,141788
"서구",11.9,8822,74097
"남구",11.7,8061,69120
"북구",7.1,12761,179584
"수성구",7.9,12586,160239
"달서구",7.5,17121,226813
"달성군",6.0,5980,99370
"인천광역시",6.7,76298,1147200
"중구",6.9,4100,59494
"동구",12.1,3041,25234
"연수구",4.4,6154,141117
"남동구",6.8,14018,207421
"부평구",7.4,14313,193963
"계양구",6.4,7236,113632
"서구",4.6,9336,200854
"미추홀구",7.7,12948,168908
"강화군",14.3,3988,27827
"옹진군",13.3,1164,8750
"광주광역시",7.0,42224,599217
"동구",8.8,4169,47388
"서구",7.0,8710,124204
"남구",8.4,7353,87098
"북구",7.7,14029,181167
"광산구",5.0,7963,159360
"대전광역시",6.6,41614,631208
"동구",9.0,9259,102668
"중구",9.5,9287,97687
"서구",5.6,11361,203296
"유성구",3.7,5718,154100
"대덕구",8.2,5989,73457
"울산광역시",6.2,27387,444087
"중구",7.9,6864,86488
"남구",5.8,7596,130469
"동구",5.7,3466,61081
"북구",3.8,3039,79213
"울주군",7.4,6422,86836
"세종특별자치시",4.1,5640,139106
"경기도",5.8,296821,5098431
"수원시",5.2,24010,466089
"성남시",6.4,23569,369585
"의정부시",7.3,12918,178067
"안양시",6.0,12152,203441
"부천시",6.3,20033,315696
"광명시",6.7,7461,111383
"평택시",5.9,12486,213185
"동두천시",11.4,4320,37936
"안산시",5.4,14048,260598
"고양시",5.9,23484,398864
"과천시",6.0,1220,20504
"구리시",6.1,4462,73253
"남양주시",5.8,14642,252977
"오산시",4.3,3912,91909
"시흥시",4.4,8395,192833
"군포시",6.3,6543,103186
"의왕시",5.3,3146,59444
"하남시",5.1,5728,112462
"용인시",4.8,18610,386929
"파주시",5.9,10108,170924
"이천시",6.3,5224,83415
"안성시",7.9,6124,77368
"김포시",4.8,8287,171854
"화성시",3.6,11612,321871
"광주시",4.6,6577,143039
"양주시",7.2,6252,86650
"포천시",9.4,5577,59525
"여주시",9.8,4326,44234
"연천군",14.3,2578,18014
"가평군",13.0,3333,25652
"양평군",12.0,5684,47544
"강원도",10.6,70244,661039
"춘천시",8.5,10058,118030
"원주시",7.3,11041,150242
"강릉시",10.2,9956,98032
"동해시",11.3,4218,37427
"태백시",14.0,2606,18586
"속초시",10.9,3877,35551
"삼척시",13.2,4047,30764
"홍천군",13.7,3999,29207
"횡성군",14.4,2811,19524
"영월군",16.9,2893,17069
"평창군",15.3,2795,18305
"정선군",15.1,2464,16275
"철원군",12.2,2066,16968
"화천군",12.4,1230,9899
"양구군",11.2,955,8521
"인제군",11.5,1443,12592
"고성군",16.1,1883,11723
"양양군",15.4,1902,12324
"충청북도",9.1,62016,678922
"충주시",9.9,9182,93082
"제천시",11.4,6781,59680
"청주시",6.5,22809,348328
"보은군",19.5,2784,14306
"옥천군",15.4,3194,20721
"영동군",16.7,3502,20984
"진천군",8.3,2897,34771
"괴산군",15.8,2881,18209
"음성군",10.5,4253,40342
"단양군",17.4,2224,12785
"증평군",9.6,1509,15714
"충청남도",9.5,84471,892222
"천안시",5.1,13953,275707
"공주시",12.2,5647,46165
"보령시",13.5,5710,42417
"아산시",6.7,8521,128012
"서산시",8.7,6342,72765
"논산시",13.9,6961,50139
"계룡시",6.2,934,15137
"당진시",8.8,6055,69099
"금산군",15.8,3680,23257
"부여군",18.5,5233,28332
"서천군",20.3,4619,22790
"청양군",18.4,2496,13532
"홍성군",11.8,5116,43192
"예산군",15.2,5131,33675
"태안군",14.5,4073,28003
"전라북도",11.5,86753,755575
"전주시",7.5,20219,270768
"군산시",9.8,10940,111817
"익산시",10.2,12171,119474
"정읍시",16.3,7489,45970
"남원시",16.4,5567,33974
"김제시",18.4,6382,34697
"완주군",10.3,3986,38551
"진안군",19.6,2089,10674
"무주군",19.3,2024,10469
"장수군",19.5,1832,9383
"임실군",20.0,2455,12288
"순창군",20.4,2374,11647
"고창군",20.7,4857,23512
"부안군",19.5,4368,22351
"전라남도",13.8,105114,761518
"목포시",9.6,9091,94391
"여수시",9.9,11139,112397
"순천시",8.6,9512,110112
"나주시",13.2,6418,48497
"광양시",7.1,4080,57752
"담양군",16.6,2994,18034
"곡성군",22.1,2798,12689
"구례군",20.6,2270,11009
"고흥군",25.6,7557,29520
"보성군",24.0,4286,17862
"화순군",17.5,4441,25343
"장흥군",22.2,3661,16484
"강진군",22.2,3384,15250
"해남군",20.5,5940,29031
"영암군",15.2,3586,23534
"무안군",10.8,3853,35628
"함평군",22.5,3050,13538
"영광군",17.7,3845,21780
"장성군",16.8,2900,17291
"완도군",18.1,3848,21234
"진도군",22.0,2945,13400
"신안군",21.0,3516,16742
"경상북도",11.7,132074,1131819
"포항시",9.0,18743,207459
"경주시",11.7,13030,111247
"김천시",12.6,7482,59250
"안동시",13.0,9222,70934
"구미시",4.8,8068,169519
"영주시",13.8,6306,45636
"영천시",15.2,6834,44842
"상주시",17.5,7636,43717
"문경시",17.9,5475,30574
"경산시",7.5,8767,116127
"군위군",21.6,2321,10726
"의성군",23.5,5662,24119
"청송군",20.1,2353,11723
"영양군",21.9,1677,7661
"영덕군",23.0,3907,16969
"청도군",21.1,3978,18821
"고령군",17.2,2322,13498
"성주군",16.5,3010,18255
"칠곡군",7.7,3612,46786
"예천군",17.9,4306,24041
"봉화군",20.7,2914,14092
"울진군",18.2,3942,21707
"울릉군",12.3,507,4116
"경상남도",9.8,132723,1350155
"진주시",9.1,13355,146660
"통영시",10.9,5886,53758
"사천시",12.4,5766,46540
"김해시",5.9,12296,207272
"밀양시",16.9,7787,45948
"거제시",5.5,5241,95837
"양산시",7.3,10111,138629
"창원시",7.6,30993,409688
"의령군",24.0,2962,12321
"함안군",15.5,4139,26634
"창녕군",18.6,4996,26908
"고성군",18.8,4134,22039
"남해군",23.1,4502,19501
"하동군",19.8,3843,19435
"산청군",21.1,3297,15611
"함양군",21.7,3759,17361
"거창군",17.8,4599,25874
"합천군",25.1,5057,20139
